predicate,acc,bal_acc,acc_auc,full_acc,f1,f2,f05,pauc,mR@10,mNgR@10,mR@20,mNgR@20,mR@50,mNgR@50,mR@-1,mNgR@-1,R@10,NgR@10,R@20,NgR@20,R@50,NgR@50,R@-1,NgR@-1
chasing,0.75,0.7455909449855225,0.6323529411764706,0.9910526315789474,0.028571428571428574,0.06578947368421052,0.018248175182481754,0.988418004738089,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.375,0.25,0.47222222222222227,0.0,0.0,,,,,,,,
climbing,0.6225,0.6224328593996841,0.6175,0.9944736842105263,0.045454545454545456,0.08928571428571429,0.030487804878048783,0.8692403896787783,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,,
cleaning,0.6633333333333336,0.6625202930981527,0.7294117647058823,0.9914473684210526,0.029850746268656716,0.06578947368421052,0.019305019305019305,0.8150146987846079,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,,,,,,,,
playing,0.9329605263157896,0.9328149920255183,0.9113622291021671,0.9830263157894736,0.5095057034220533,0.6822810590631365,0.4065533980582524,0.9829772797224322,0.36386666666666667,0.47426666666666667,0.3718666666666667,0.5878666666666666,0.3798666666666667,0.6498666666666667,0.33986666666666665,0.37826666666666664,,,,,,,,
touching,0.7648148148148146,0.7622278953983694,0.7672984749455337,0.9306578947368421,0.057245080500894455,0.125,0.037122969837587005,0.9366169285619966,0.058823529411764705,0.27450980392156865,0.09803921568627451,0.45098039215686275,0.09803921568627451,0.5686274509803921,0.058823529411764705,0.0784313725490196,,,,,,,,
pushing,0.7819999999999999,0.7861092824226465,0.7415294117647059,0.9719736842105263,0.027397260273972608,0.0641025641025641,0.017421602787456445,0.8991178406846609,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,,,,,,,
pulling,0.8625,0.8690758293838863,0.8586029411764706,0.9880263157894736,0.061855670103092786,0.13761467889908258,0.0398936170212766,0.9687993680884676,0.0,0.20454545454545456,0.045454545454545456,0.36363636363636365,0.045454545454545456,0.5681818181818182,0.0,0.09090909090909091,,,,,,,,
opening,1.0,0.9988814317673378,1.0,0.9977631578947368,0.10526315789473684,0.22727272727272727,0.06849315068493152,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,
cooking,,,,,,,,,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.2,,,,,,,,
talking to,0.9808333333333334,0.9818936002106926,0.9620098039215687,0.9638157894736842,0.041811846689895474,0.09836065573770493,0.026548672566371685,0.9859318760424898,0.21052631578947367,0.11403508771929824,0.23684210526315788,0.2894736842105263,0.32456140350877194,0.40350877192982454,0.05263157894736842,0.05263157894736842,,,,,,,,
throwing,0.9966666666666667,0.9965090238440258,0.9868627450980393,0.9930263157894736,0.2535211267605634,0.45918367346938777,0.17509727626459143,0.998360631742268,0.08333333333333333,0.8333333333333334,0.08333333333333333,0.9166666666666666,0.08333333333333333,0.9166666666666666,0.08333333333333333,0.5,,,,,,,,
slicing,1.0,0.9968412740194788,0.9876470588235294,0.9936842105263158,0.07692307692307693,0.1724137931034483,0.04950495049504951,0.9968412740194788,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.25,0.5,0.041666666666666664,0.20833333333333334,,,,,,,,
driving,0.995,0.9934791200105388,0.9343790849673203,0.9869736842105263,0.15384615384615385,0.3125,0.10204081632653061,0.9957991188395615,0.11627906976744186,0.19767441860465115,0.11627906976744186,0.19767441860465115,0.11627906976744186,0.19767441860465115,0.11627906976744186,0.13953488372093023,,,,,,,,
riding,0.8587096774193549,0.86006322414492,0.8689120809614167,0.9857894736842105,0.5573770491803279,0.6500956022944551,0.4878048780487805,0.9721134826133602,0.12681159420289856,0.4666666666666666,0.1579710144927536,0.5876811594202899,0.1688405797101449,0.6988405797101449,0.11811594202898551,0.36884057971014483,,,,,,,,
parked on,0.9685211267605633,0.968959506570126,0.9391797845898924,0.939078947368421,0.3801874163319946,0.6052855924978686,0.27712724434035907,0.9748818737040101,0.2495934959349594,0.3715156794425087,0.27926829268292686,0.4844076655052264,0.2890243902439024,0.5328397212543553,0.21707317073170734,0.32720673635307784,,,,,,,,
driving on,0.9505084745762712,0.9499189798694088,0.9431987371219673,0.9452631578947368,0.4482758620689656,0.6575875486381322,0.3400402414486922,0.9777984292217425,0.4479910714285714,0.5729910714285714,0.4651041666666667,0.6201636904761906,0.4651041666666667,0.6517857142857143,0.4152529761904762,0.48392857142857143,,,,,,,,
about to hit,0.935625,0.9357858649789029,0.9380330882352941,0.9963157894736843,0.4999999999999999,0.6730769230769231,0.3977272727272727,0.9901849287974683,0.6666666666666666,0.6666666666666666,0.7037037037037037,0.7777777777777778,0.7407407407407407,0.8518518518518519,0.48148148148148145,0.5185185185185185,,,,,,,,
kicking,0.87375,0.8714454976303317,0.8141911764705883,0.9927631578947368,0.09836065573770492,0.20547945205479454,0.06465517241379311,0.8990258030542391,0.5,0.5,0.5,0.75,0.5,0.75,0.5,0.25,,,,,,,,
swinging,0.9925806451612904,0.9922711058263971,0.9896110056925997,0.9846052631578948,0.3463687150837989,0.5698529411764707,0.24879614767255218,0.9965905071194473,0.6842105263157895,0.868421052631579,0.6842105263157895,0.868421052631579,0.6842105263157895,0.868421052631579,0.631578947368421,0.8421052631578947,,,,,,,,
entering,1.0,0.9946045532306882,0.7647058823529411,0.9892105263157894,0.02380952380952381,0.0574712643678161,0.015015015015015015,0.9894722989867089,0.09090909090909091,0.1212121212121212,0.1515151515151515,0.2727272727272727,0.32575757575757575,0.45454545454545453,0.09090909090909091,0.0303030303030303,,,,,,,,
exiting,0.745,0.7469728876020005,0.6907352941176471,0.9938157894736842,0.04081632653061224,0.09090909090909091,0.02631578947368421,0.8669386680705449,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,,,,,,,,
enclosing,0.7879166666666668,0.788833245475312,0.7723039215686274,0.9936842105263158,0.22580645161290325,0.3571428571428571,0.1650943396226415,0.9830763486206291,0.09836065573770492,0.07377049180327869,0.16666666666666666,0.12568306010928962,0.22950819672131148,0.23770491803278687,0.04371584699453552,0.02185792349726776,,,,,,,,
leaning on,0.7183333333333334,0.7170511975390024,0.7066274509803921,0.9664473684210526,0.05204460966542751,0.11146496815286625,0.03394762366634336,0.9184530872335751,0.06547619047619048,0.05654761904761905,0.13392857142857142,0.12797619047619047,0.14583333333333334,0.21726190476190477,0.03571428571428571,0.02976190476190476,,,,,,,,
